Category	Word	Meaning 1	Meaning 2
구조 및 기능	Abandon	버리다/포기하다	방종/분별없는 행동
구조 및 기능	Abide	준수하다/따르다	머무르다/거주하다
구조 및 기능	Abolish	폐지하다	없애다
구조 및 기능	Absorb	흡수하다	열중시키다
구조 및 기능	Abstract	추상적인	개요/요약
구조 및 기능	Abundant	풍부한	많은
구조 및 기능	Access	접근/입장	이용 권한
구조 및 기능	Accommodate	수용하다/공간을 제공하다	부응하다/맞추다
구조 및 기능	Apparatus	장치/기구	조직/기구
구조 및 기능	Architecture	건축/건축학	구조/설계
구조 및 기능	Arid	건조한/메마른	무미건조한
구조 및 기능	Arise	생기다/발생하다	서서히 일어나다
구조 및 기능	Aristocracy	귀족 정치/귀족층	상류 계급
구조 및 기능	Arouse	불러일으키다/자극하다	깨우다
구조 및 기능	Arrange	배열하다/정리하다	준비하다/주선하다
구조 및 기능	Array	배열/집합체	배열하다/배치하다
구조 및 기능	Arrest	체포하다	막다/저지하다
구조 및 기능	Art	예술/미술	기술/기술적 요령
구조 및 기능	Articulate	또렷이 말하다/설명하다	연결되다
구조 및 기능	Artifact	인공 유물/가공품	데이터 오류
구조 및 기능	Assembly	의회/입법 기관	조립/집회
구조 및 기능	Autonomous	자율적인/자주적인	독자적인
구조 및 기능	Axis	축/중심선	지권축
구조 및 기능	Boundary	경계/경계선	한계
구조 및 기능	Channel	경로/수로	채널/주파수
구조 및 기능	Component	구성 요소/성분	구성하는
구조 및 기능	Configuration	구성/배치	형태
구조 및 기능	Core	핵심/중심부	과일 속
구조 및 기능	Dimension	크기/치수	차원
구조 및 기능	Fabric	직물/천	구조/조직
구조 및 기능	Foundation	토대/기초	재단/설립
구조 및 기능	Framework	뼈대/틀	체제
구조 및 기능	Hierarchy	계층/서열	위계
구조 및 기능	Infrastructure	사회 기반 시설/인프라	하부 구조
구조 및 기능	Integrate	통합시키다	합치다
구조 및 기능	Integration	통합/융합	차별 철폐
구조 및 기능	Mechanism	기계 장치/메커니즘	방법/절차
구조 및 기능	Network	망/네트워크	긴밀한 연락망
구조 및 기능	Rigid	엄격한/융통성 없는	단단한
구조 및 기능	Structure	구조/건축물	조직하다
구조 및 기능	Subordinate	종속된/부하의	하위에 두다
구조 및 기능	Superficial	표면적인/피상적인	깊이 없는
구조 및 기능	Symmetry	대칭/균형	조화
구조 및 기능	Systematic	체계적인/조직적인	계획적인
구조 및 기능	Texture	감촉/질감	결
구조 및 기능	Utility	유용성/실용성	공공요금/공공사업
구조 및 기능	Vertex	정점/꼭짓점	최고조
구조 및 기능	Vibrant	활기찬/생동감 넘치는	강렬한/진동하는
구조 및 기능	Vigor	활력/생기	법적 효력
구조 및 기능	Virtually	사실상/거의	가상으로
구조 및 기능	Vivid	생생한/선명한	활기찬
구조 및 기능	Void	법적 효력이 없는/무효의	빈 공간/공백
구조 및 기능	Volatile	변덕스러운/휘발성의	불안한
구조 및 기능	Volume	부피/양	책/권
구조 및 기능	Vulnerable	취약한/상처 입기 쉬운	연약한
구조 및 기능	Warrant	영장/정당화하다	보증하다
구조 및 기능	Widespread	광범위한/널리 퍼진	보편적인
구조 및 기능	Yield	산출하다/양도하다	수확량/산출량
구조 및 기능	Zenith	정점/최고조	천정
논리 및 발전	Alteration	변화/개조	수정
논리 및 판단	Aggregate	합계의/총액의	모으다/종합하다
논리 및 판단	Aggressive	공격적인	적극적인
논리 및 판단	Agile	민첩한/영리한	기민한
논리 및 판단	Agrarian	농업의	토지의
논리 및 판단	Agree	동의하다/합의하다	일치하다
논리 및 판단	Aid	원조/지원	보조 기구
논리 및 판단	Aim	목표/겨냥	겨누다/목표하다
논리 및 판단	Albeit	비록 ~일지라도	오히려
논리 및 판단	Alert	경계하는/기민한	알림/경보
논리 및 판단	Alien	외국의/이질적인	외계인
논리 및 판단	Align	나란히 만들다/정렬하다	동조하다
논리 및 판단	Alike	비슷한/동일하게	둘 다
논리 및 판단	Alive	살아 있는	활기 넘치는
논리 및 판단	Allege	주장하다/우기다	증언하다
논리 및 판단	Alliance	동맹/연합	제휴
논리 및 판단	Allocate	할당하다/배분하다	배치하다
논리 및 판단	Allow	허용하다/인정하다	지급하다
논리 및 판단	Alloy	합금	합금하다/품질을 떨어뜨려 섞다
논리 및 판단	Allude	암시하다/언급하다	비추다
논리 및 판단	Alter	바꾸다/변경하다	고치다
논리 및 판단	Ambiguity	모호성/불명확함	다의성
논리 및 판단	Ambivalent	상반된 감정을 가진	모호한
논리 및 판단	Associate	연상하다/어울리다	동료/준회원
논리 및 판단	Association	협회/단체	연상/연관성
논리 및 판단	Assorted	여러 가지의/다채로운	조화된
논리 및 판단	Assortment	모음/종합	구색
논리 및 판단	Assume	추정하다/가정하다	맡다/인수하다
논리 및 판단	Assumption	가정/추정	인수/떠맡기
논리 및 판단	Assure	보장하다/장담하다	확실하게 하다
논리 및 판단	Astonish	깜짝 놀라게 하다	감탄시키다
논리 및 판단	Astound	경악시키다/큰 충격을 주다	놀라게 하다
논리 및 판단	Astronomy	천문학	우주 과학
논리 및 판단	Contradiction	모순/반박	반대되는 말
논리 및 판단	Criterion	기준/척도	규범
논리 및 판단	Deduction	추론/연역	공제액
논리 및 판단	Fallacy	오류/틀린 생각	궤변
논리 및 판단	Flaw	결함/결점	흠을 내다
논리 및 판단	Hypothesis	가설/가정	추측
논리 및 판단	Inference	추론/추정	결론
논리 및 판단	Invalid	효력 없는/무효한	근거 없는
논리 및 판단	Invalidity	실효 없음/무효	근거 없음
논리 및 판단	Justification	정당화/명분	해명
논리 및 판단	Justify	정당화하다	해명하다
논리 및 판단	Paradox	역설	모순된 말
논리 및 판단	Paradoxical	역설적인/모순된	기묘한
논리 및 판단	Plausibility	그럴듯함/타당성	이치에 맞음
논리 및 판단	Plausible	타당한 것 같은/그럴듯한	이치에 맞는
논리 및 판단	Premise	전제/가정	구내/토지
논리 및 판단	Rational	합리적인/이성적인	이성을 가진
논리 및 판단	Rationalize	합리화하다	축소 개편하다
논리 및 판단	Skepticism	회의론/의심	회의적 태도
논리 및 판단	Soundness	건전성/건강함	견고함
논리 및 판단	Speculation	추측/짐작	투기
논리 및 판단	Thesis	학위 논문/논제	주장
논리 및 판단	Valid	유효한/타당한	효과적인
논리 및 판단	Validity	유효성/타당성	법적 효력
논리 및 판단	Verification	확인/입증	증명
논리적인 판단	Plausible	타당한 것 같은/그럴듯한	이치에 맞는
변화 및 발전	Accelerate	가속화하다	촉진하다
변화 및 발전	Acclimate	적응하다/길들이다	순응하다
변화 및 발전	Accumulate	축적하다/모으다	늘어나다
변화 및 발전	Adapt	적응하다/맞추다	각색하다
