Category	Word	Meaning
Adjectives	Resilient	회복력 있는, 탄성 있는
Adjectives	Respective	각각의, 저마다의
Adjectives	Rigorous	엄격한, 철저한
Adjectives	Saturated	포화된
Adjectives	Scrupulous	양심적인, 세심한
Adjectives	Seasonal	계절적인, 정기의
Adjectives	Selective	선택적인, 까다로운
Adjectives	Severe	심각한, 가혹한
Adjectives	Sophisticated	정교한, 세련된
Adjectives	Spacious	널찍한
Adjectives	Stagnant	침체된, 고여 있는
Adjectives	Strident	단호한, 귀에 거슬리는
Adjectives	Stringent	엄격한, 긴박한
Adjectives	Subsequent	그 다음의, 차후의
Adjectives	Substantial	상당한, 실질적인
Adjectives	Surplus	잉여의, 과잉의
Adjectives	Systematic	체계적인
Adjectives	Temporary	일시적인, 임시의
Adjectives	Tentative	잠정적인, 모호한
Adjectives	Theoretical	이론적인
Adjectives	Unanimous	만장일치의
Adjectives	Unconditional	무조건적인
Adjectives	Understaffed	인원이 부족한
Adjectives	Unethical	비윤리적인
Adjectives	Unprecedented	전례 없는
Adjectives	Unveiled	공개된
Adjectives	Upcoming	다가오는, 곧 있을
Adjectives	Upscale	평균 이상의, 고소득층의
Adjectives	Vague	모호한, 희미한
Adjectives	Valid	유효한, 타당한
Adjectives	Valuable	가치 있는, 귀중한
Adjectives	Varied	다양한, 다채로운
Adjectives	Vast	광대한, 방대한
Adjectives	Versatile	다재다능한, 다용도의
Adjectives	Viable	실행 가능한, 실용적인
Adjectives	Vibrant	활기찬, 진동하는
Adjectives	Virtual	가상의, 사실상의
Adjectives	Vital	정말 중요한, 활력 있는
Adjectives	Voluntary	자발적인
Adjectives	Vulnerable	취약한, 연약한
Adjectives	Wasteful	낭비적인
Adjectives	Widespread	광범위한, 널리 퍼진
Adjectives	Worldwide	전 세계적인
Adjectives	Worthwhile	가치 있는, 보람 있는
Adjectives	Zealous	열성적인, 열심인
Adverbs	Scarcely	거의 ~않다, 간신히
Adverbs	Seamlessly	매끄럽게, 이음새 없이
Adverbs	Simultaneously	동시에
Adverbs	Solely	오직, 혼자서
Adverbs	Speculatively	투기적으로, 추측상으로
Adverbs	Spontaneously	자발적으로, 자연스럽게
Adverbs	Subtly	미묘하게, 교묘하게
Adverbs	Superficially	표면적으로, 피상적으로
Adverbs	Thoroughly	철저히, 철두철미하게
Adverbs	Urgently	급히, 긴급하게
Adverbs & Adjectives	Adversely	불리하게, 반대로
Adverbs & Adjectives	Ambitious	야심 찬, 의욕적인
Adverbs & Adjectives	Anxiously	근심하여, 간절히
Adverbs & Adjectives	Apparent	분명한, 겉보기의
Adverbs & Adjectives	Assuredly	확실히, 틀림없이
Adverbs & Adjectives	Astonishing	놀라운, 믿기 힘든
Adverbs & Adjectives	Belatedly	뒤늦게
Adverbs & Adjectives	Beneficially	유익하게, 유리하게
Adverbs & Adjectives	Chronically	만성적으로
Adverbs & Adjectives	Cognizant	알고 있는, 지각하는
Adverbs & Adjectives	Commensurate	상응하는, 비례하는
Adverbs & Adjectives	Comparable	비교할 만한, 비슷한
Adverbs & Adjectives	Comprehensively	종합적으로, 철저히
Adverbs & Adjectives	Conclusively	결정적으로, 단호히
Adverbs & Adjectives	Condescending	거들먹거리는, 잘난 체하는
Adverbs & Adjectives	Conditional	조건부의, 잠정적인
Adverbs & Adjectives	Congenial	마음이 맞는, 알맞은
Adverbs & Adjectives	Considerably	상당히, 많이
Adverbs & Adjectives	Consistently	일관되게, 지속적으로
Adverbs & Adjectives	Conspicuously	눈에 띄게, 두드러지게
Adverbs & Adjectives	Cordial	화기애애한, 다정한
Adverbs & Adjectives	Cumulatively	누적하여, 점진적으로
Adverbs & Adjectives	Customary	관습적인, 습관적인
Adverbs & Adjectives	Deliberately	고의로, 신중하게
Adverbs & Adjectives	Dense	밀집한, 빽빽한
Adverbs & Adjectives	Desperately	필사적으로, 지독하게
Adverbs & Adjectives	Disastrous	처참한, 형편없는
Adverbs & Adjectives	Discreetly	신중하게, 분별 있게
Adverbs & Adjectives	Disproportionately	불균형하게
Adverbs & Adjectives	Disruptive	지장을 주는, 방해하는
Adverbs & Adjectives	Distinctly	뚜렷하게, 명백히
Adverbs & Adjectives	Divisive	분열을 초래하는
Adverbs & Adjectives	Drastically	과감하게, 급격히
Adverbs & Adjectives	Duly	적절하게, 정당하게
Adverbs & Adjectives	Eagerly	열망하여, 간절히
Adverbs & Adjectives	Earnestly	진지하게, 진정으로
Adverbs & Adjectives	Economically	경제적으로, 알뜰하게
Adverbs & Adjectives	Efficacious	효과가 있는
Adverbs & Adjectives	Egalitarian	평등주의적인
Adverbs & Adjectives	Elaborately	공들여서, 정교하게
Adverbs & Adjectives	Elegant	우아한, 명쾌한
Adverbs & Adjectives	Eligible	자격이 있는, 적격의
Adverbs & Adjectives	Elitist	엘리트주의의
Adverbs & Adjectives	Empirical	경험적인, 실증적인
Adverbs & Adjectives	Enthusiastically	열정적으로, 매우 호의적으로
Adverbs & Adjectives	Erroneously	잘못하여, 잘못되게
Adverbs & Adjectives	Essentially	본질적으로, 근본적으로
Adverbs & Adjectives	Exceptional	이례적인, 우수한
Adverbs & Adjectives	Exclusively	독점적으로, 오직
Adverbs & Adjectives	Exemplary	모범적인, 본보기가 되는
Adverbs & Adjectives	Exempt	면제된
Adverbs & Adjectives	Extensively	광범위하게, 널리
Adverbs & Adjectives	Extravagantly	낭비하여, 사치스럽게
Adverbs & Adjectives	Feasibly	실행 가능하게
Adverbs & Adjectives	Fiercely	맹렬하게, 지독하게
Adverbs & Adjectives	Fluently	유창하게, 거침없이
Adverbs & Adjectives	Formidable	어마어마한, 가공할 만한
Adverbs & Adjectives	Fragile	부서지기 쉬운
Adverbs & Adjectives	Frankly	솔직히, 숨김없이
Adverbs & Adjectives	Frantic	정신없이 바쁜, 흔들리는
Adverbs & Adjectives	Genuine	진짜의, 진심 어린
Adverbs & Adjectives	Graciously	친절하게, 자비롭게
Adverbs & Adjectives	Gradually	서서히, 점진적으로
Adverbs & Adjectives	Haphazardly	무턱대고, 되는대로
Adverbs & Adjectives	Hazardous	위험한
Adverbs & Adjectives	Hierarchical	계층적인, 위계적인
Adverbs & Adjectives	Illicit	불법의, 부정한
Adverbs & Adjectives	Imminent	임박한, 촉박한
Adverbs & Adjectives	Impartially	공정하게, 치우치지 않게
Adverbs & Adjectives	Imperative	반드시 해야 하는, 필수적인
Adverbs & Adjectives	Inadvertently	무심코, 우연히
Adverbs & Adjectives	Incentive	장려하는, 우대의
Adverbs & Adjectives	Incessantly	끊임없이, 쉴 새 없이
Adverbs & Adjectives	Inclusively	포함하여, 포괄적으로
Adverbs & Adjectives	Incompatible	호환되지 않는
Adverbs & Adjectives	Indispensable	필수불가결한
Adverbs & Adjectives	Inevitably	필연적으로, 아니나 다를까
Adverbs & Adjectives	Inherent	내재된, 타고난
Adverbs & Adjectives	Initially	처음에, 초기에
Adverbs & Adjectives	Innovative	혁신적인
Adverbs & Adjectives	Insubordinate	순종하지 않는, 반항적인
Adverbs & Adjectives	Intangible	무형의, 만질 수 없는
Adverbs & Adjectives	Intensified	강화된, 격렬해진
Adverbs & Adjectives	Interim	임시의, 과도기의
Adverbs & Adjectives	Intermittent	간헐적인, 때때로의
Adverbs & Adjectives	Intimately	친밀하게, 긴밀하게
Adverbs & Adjectives	Intrepid	대담한, 두려움을 모르는
Adverbs & Adjectives	Intrinsic	본질적인, 고유한
Adverbs & Adjectives	Invaluable	매우 귀중한
Adverbs & Adjectives	Invariably	변함없이, 언제나
Adverbs & Adjectives	Jeopardized	위태로워진
Adverbs & Adjectives	Judicial	사법의, 재판의
Adverbs & Adjectives	Legitimate	합법적인, 정당한
Adverbs & Adjectives	Lethargic	무기력한, 둔감한
Adverbs & Adjectives	Lucrative	수익성이 좋은
Adverbs & Adjectives	Mandatory	의무적인, 의무의
Adverbs & Adjectives	Marginally	미미하게, 간신히
Adverbs & Adjectives	Meticulous	꼼꼼한, 세심한
Adverbs & Adjectives	Mundane	평범한, 일상적인
Adverbs & Adjectives	Mutual	상호 간의, 공동의
Adverbs & Adjectives	Negligible	무시해도 될 정도의
Adverbs & Adjectives	Notably	특히, 눈에 띄게
Adverbs & Adjectives	Null and void	무효의
Adverbs & Adjectives	Objective	객관적인
Adverbs & Adjectives	Obsolete	구식의, 쓸모없어진
Adverbs & Adjectives	Ominous	불길한, 전조의
Adverbs & Adjectives	Overwhelmingly	압도적으로
Adverbs & Adjectives	Partially	부분적으로
Adverbs & Adjectives	Perishable	부패하기 쉬운
Adverbs & Adjectives	Permeable	투과성 있는
Adverbs & Adjectives	Perpetually	끊임없이, 영구히
Adverbs & Adjectives	Plausible	타당해 보이는, 그럴듯한
